1,"NCT03689842","Feasibility Study of Uterine Transplantation From Living Donors in Terms of Efficacy and Safety in Patients With Mayer-Rokitansky-Küster-Hauser Syndrome (MRKH)",,"Recruiting","No Results Available","Mayer Rokitansky Kuster Hauser Syndrome","Procedure: Uterine transplantation","Pregnancy|Safety assessment of the donor (adverse events / psychological interviews and questionnaires)|Safety assessment of the recipient (adverse events of treatments and medical interventions/ psychological interviews and questionnaires)|Safety assessment of the fœtus (assessment of the perfect development of the fœtus in the transplanted uterus)","Hopital Foch","Female","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2016/26","December 14, 2017","December 14, 2024","June 1, 2025","September 28, 2018","null","September 28, 2018","Hopital Foch, Suresnes, France","","https://ClinicalTrials.gov/show/NCT03689842"
2,"NCT03689829","A Study to Test Safety, Tolerability, and the Way the Body Absorbs, Distributes, and Gets Rid of a Study Drug Called MOR106, in Healthy Subjects and in Patients With Moderate to Severe Atopic Dermatitis",,"Recruiting","No Results Available","Healthy|Atopic Dermatitis","Drug: MOR106|Drug: Placebo","The number of incidents of Treatment-emergent adverse events (TEAEs), adverse events of special interest (AESIs), serious adverse events (SAEs) and discontinuations due to Adverse Events (AEs) Part I.|The number of incidents of Treatment-emergent adverse events (TEAEs), adverse events of special interest (AESIs), serious adverse events (SAEs) and discontinuations due to Adverse Events (AEs) Part II.|AUC ratio between s.c. and i.v. dosing (area under the plasma concentration-time curve) Part I.|Area under the serum concentration-time curve from time zero to infinity (AUC0-inf) Part I.|Terminal elimination half-life (t1/2) Part I.|Maximum observed plasma concentration (Cmax) Part I.|Occurrence of anti-drug antibodies (ADA) Part I.|Occurrence of anti-drug antibodies (ADA) Part II.|MOR106 serum concentrations after multiple s.c. administrations Part II.|Percent change in Eczema Area and Severity Index (EASI) Part II.|Proportion of subjects who achieve ≥50% overall improvement in Eczema Area and Severity Index (EASI) score Part II.|Time to first response of Eczema Area and Severity Index (EASI) improvement with 50% Part II.|Proportion of subjects who achieve ≥75% and ≥90% improvement in Eczema Area and Severity Index (EASI) Part II.|Proportion of subjects who achieve an Investigators' Global Assessment (IGA) score of 0 or 1 Part II.|Proportion of subjects who achieve an Investigators' Global Assessment (IGA) score reduction of ≥2 Part II.|Percent change in Scoring Atopic Dermatitis (SCORAD) score Part II.|Absolute and percent change in body surface area (BSA), Patient Oriented Eczema Measure (POEM) score Part II.|Weekly change from baseline in Pruritus Numeric Rating Scale (NRS) Part II.","Galapagos NV","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","77","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","MOR106-CL-102|2018-000357-44","August 13, 2018","August 2019","August 2019","September 28, 2018","null","September 28, 2018","MEU, Manchester, United Kingdom","","https://ClinicalTrials.gov/show/NCT03689829"
3,"NCT03689816","the Related Factors of Bariatric Surgery on Bone Mineral Density",,"Active, not recruiting","No Results Available","Bone Mineral|Bariatric Surgery","Procedure: sleeve gastrectomy|Procedure: gastric bypass","Preoperative of bone density|Postoperative of bone density at 3 months|Postoperative of bone density at 6 months|Postoperative of bone density at 1 year","First Affiliated Hospital of Jinan University","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FirstJinanU20180216","April 1, 2018","December 2018","December 2019","September 28, 2018","null","September 28, 2018","The frist affiliated hospital of Jinan University, Guangzhou, Guangdong, China","","https://ClinicalTrials.gov/show/NCT03689816"
4,"NCT03689803","the Related Factors of Bariatric Surgery on Lipidemia",,"Active, not recruiting","No Results Available","Bariatric Surgery|Lipidemia","Procedure: sleeve gastrectomy|Procedure: gastric bypass","preoperative of choleaterol|Postoperative of choleaterol at 3 months|Postoperative of choleaterol at 6 months|Postoperative of choleaterol at 1 year|Preoperative of triglyceride|Postoperative of triglyceride at 3 months|Postoperative of triglyceride at 6 months|Postoperative of triglyceride at 1 year","First Affiliated Hospital of Jinan University","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FirstJinanU20180214","April 1, 2018","December 2018","December 2019","September 28, 2018","null","September 28, 2018","The frist affiliated hospital of Jinan University, Guangzhou, Guangdong, China","","https://ClinicalTrials.gov/show/NCT03689803"
5,"NCT03689790","the Related Factors of Bariatric Surgery on Liver Function",,"Active, not recruiting","No Results Available","Liver Function|Bariatric Surgery","Procedure: sleeve gastrectomy|Procedure: gastric bypass","preoperative of aminotransferase aspartate|Postoperative of aminotransferase aspartate at 3 months|Postoperative of aminotransferase aspartate at 6 months|Postoperative of aminotransferase aspartate at 1 year|preoperative of alanine aminotransferase|Postoperative of alanine aminotransferase at 3 months|Postoperative of alanine aminotransferase at 6 months|Postoperative of alanine aminotransferase at 1 year","First Affiliated Hospital of Jinan University","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FirstJinanU20180213","April 1, 2018","December 2018","December 2019","September 28, 2018","null","September 28, 2018","The frist affiliated hospital of Jinan University, Guangzhou, Guangdong, China","","https://ClinicalTrials.gov/show/NCT03689790"
6,"NCT03689777","the Related Factors of Bariatric Surgery on Glomerular Filtration Rate",,"Active, not recruiting","No Results Available","Bariatric Surgery|Glomerular Filtration Rate","Procedure: sleeve gastrectomy|Procedure: gastric bypass","preoperative of glomerular filtration rate|Postoperative of glomerular filtration rate at 3 months|Postoperative of glomerular filtration rate at 6 months|Postoperative of glomerular filtration rate at 1 year","First Affiliated Hospital of Jinan University","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","FirstJinanU20180212","January 1, 2018","December 2018","December 2019","September 28, 2018","null","September 28, 2018","The frist affiliated hospital of Jinan University, Guangzhou, Guangdong, China","","https://ClinicalTrials.gov/show/NCT03689777"
7,"NCT03689764","Video Game-based Exercise for Persons With Parkinson's Disease",,"Completed","No Results Available","Parkinson Disease","Other: interactive video game-based exercise|Other: no intervention","Change of Berg Balance Scale (BBS)|Change of 36-Item Short-Form Health Survey (SF-36)|Change of Modified Falls Efficacy Scale (MFES)|Change of Multidirectional Reach Test (MDRT)|Change of Maximum Step Length (MSL) test","Taipei Medical University Hospital","All","40 Years to 80 Years   (Adult, Older Adult)","Not Applicable","24","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","201311032","June 2014","October 2017","October 2017","September 28, 2018","null","September 28, 2018","Taipei Medical university Hospital, Taipei, Taiwan","","https://ClinicalTrials.gov/show/NCT03689764"
8,"NCT03689751","Patient Information Videos on Operations Trial","PIVOT","Completed","No Results Available","Patient Education","Other: LSCS Video|Other: TVT/TOT Video","Change in Anxiety from baseline to immediately preoperatively using a Visual Analogue Scale|Change in Knowledge from baseline to immediately preoperatively using a customised questionnaire where patients self-rated their knowledge related to the operation or condition.|Change in Anxiety from baseline to immediately preoperatively using the State-Trait Anxiety inventory (STAI)|Recruitment rate over the study period","Royal Devon and Exeter NHS Foundation Trust","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","72","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Care Provider, Outcomes Assessor)|Primary Purpose: Other","1210701","January 9, 2013","April 22, 2015","April 22, 2015","September 28, 2018","null","September 28, 2018","","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/51/NCT03689751/Prot_SAP_ICF_000.pdf","https://ClinicalTrials.gov/show/NCT03689751"
9,"NCT03689738","Effects of Potato Resistant Starch Intake on Insulin Sensitivity, Related Metabolic Markers and Satiety",,"Recruiting","No Results Available","Insulin Sensitivity|Lipid Metabolism|Resistant Starch|Potato","Other: Potato (Resistant Starch)|Other: CHO-matched (Low-fiber, RS-free)","Change in the Matsuda insulin sensitivity index (MISI)|Change in the total area under the curve (AUC) for insulin|Change in the total area under the curve (AUC) for glucose|Change in the incremental AUC (iAUC) for insulin|Change in the incremental AUC (iAUC) for glucose|Change in the AUC for FFA|Change in the net iAUC for fullness, hunger, desire to eat and prospective food consumption|Change in the total AUC for breath hydrogen","Midwest Center for Metabolic and Cardiovascular Research|Alliance for Potato Research & Education","All","18 Years to 74 Years   (Adult, Older Adult)","Not Applicable","24","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","MB-1802","September 24, 2018","January 1, 2019","January 1, 2019","September 28, 2018","null","September 28, 2018","Melissa Ashe, Boca Raton, Florida, United States","","https://ClinicalTrials.gov/show/NCT03689738"
10,"NCT03689725","The Effect of Music on Preterm Infant's Brain Development",,"Recruiting","No Results Available","Prematurity","Other: Music","Compare structural maturation in the three groups using structural MRI and DTI|Compare resting state maturation in the three groups using resting state fMRI|Functional responses to known and unknown music in preterm infants with music intervention will be compared to no-intervention groups responses using fMRI|Functional responses to known and unknown music in preterm infants with music intervention will be compared to no-intervention groups responses using EEG|The music intervention effect on cognitive language and motor development at one and two years of age|The music intervention effect on emotion and temperament at one and two years of age|The music intervention effect on effortful control at one and two years of age","Pediatric Clinical Research Platform","All","33 Weeks to 42 Weeks   (Child)","Not Applicable","63","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","SNF 32473B_135817/1","March 1, 2013","December 31, 2019","December 31, 2021","September 28, 2018","null","September 28, 2018","Prof. Petra S. Hüppi, Geneva, Switzerland","","https://ClinicalTrials.gov/show/NCT03689725"
